h3_index,lat,lon,hazard_probability_pct,hazard_probability_p10,hazard_probability_p90,confidence_overall,n_valid,n_total,depth_bin_m,depth_p10_m,depth_p90_m,depth_mean_m,is_perm_water,qa_flag,qa_reason,coverage_flag
88446e1349fffff,29.790436,-93.871186,0.44,0.393,0.487,1.0,4,4,0.0-0.1m,0.017,0.095,0.05,False,True,,good
88446ecdd9fffff,29.861003,-93.580359,0.44,0.44,0.44,0.25,1,4,0.0-0.1m,0.0,0.0,0.0,False,True,,good
88446ecdddfffff,29.861052,-93.570441,0.63,0.63,0.63,0.25,1,4,0.0-0.1m,0.0,0.0,0.0,False,True,,good
88446e134bfffff,29.79804,-93.876382,0.4967,0.474,0.522,0.4286,3,7,0.1-0.3m,0.022,0.345,0.13,False,True,,good
88446e89a1fffff,29.775152,-93.870728,0.54,0.502,0.574,0.6,3,5,,,,,False,True,,good
88446e89a3fffff,29.782757,-93.875923,0.444,0.358,0.516,0.625,5,8,0.0-0.1m,0.01,0.064,0.036,False,True,,good
88446e89a5fffff,29.775227,-93.860797,0.635,0.609,0.661,0.6667,4,6,,,,,False,True,,good
88446ecd61fffff,29.807984,-93.494652,0.64,0.64,0.64,0.1667,1,6,0.6-1.0m,0.193,0.9,0.722,False,False,cloud,cloud
88446e89a7fffff,29.782831,-93.865991,0.57,0.521,0.619,0.6667,4,6,0.0-0.1m,0.011,0.083,0.045,False,True,,good
88446e89adfffff,29.767548,-93.865534,0.69,0.69,0.69,0.1667,1,6,,,,,False,False,cloud,cloud
88446ecd6bfffff,29.807938,-93.50456,0.51,0.51,0.51,0.1667,1,6,0.3-0.6m,0.017,0.9,0.445,False,False,cloud,cloud
88446e550bfffff,29.983488,-93.494384,0.52,0.504,0.536,0.3333,2,6,0.0-0.1m,0.011,0.017,0.016,False,True,,good
88446ecc33fffff,29.853345,-93.585108,0.49,0.49,0.49,0.1429,1,7,0.1-0.3m,0.274,0.274,0.274,False,False,cloud,cloud
88446ecc37fffff,29.853395,-93.57519,0.55,0.55,0.55,0.1429,1,7,,,,,False,False,cloud,cloud
88446e89b7fffff,29.797965,-93.886316,0.575,0.555,0.595,0.2857,2,7,0.1-0.3m,0.016,0.209,0.104,False,True,,good
